class,arid,airport,condition,parameter,type,season,value
22,"-","-",normal,bowen,NLCD16,winter with snow,0.5
23,"-","-",normal,bowen,NLCD16,winter with snow,0.5
24,"-","-",normal,bowen,NLCD16,winter with snow,0.5
31,no,"-",normal,bowen,NLCD16,winter with snow,0.5
31,yes,"-",normal,bowen,NLCD16,winter with snow,
32,"-","-",normal,bowen,NLCD16,winter with snow,0.5
41,"-","-",normal,bowen,NLCD16,winter with snow,0.5
42,"-","-",normal,bowen,NLCD16,winter with snow,0.7
43,"-","-",normal,bowen,NLCD16,winter with snow,0.5
51,no,"-",normal,bowen,NLCD16,winter with snow,0.5
51,yes,"-",normal,bowen,NLCD16,winter with snow,
52,no,"-",normal,bowen,NLCD16,winter with snow,0.5
52,yes,"-",normal,bowen,NLCD16,winter with snow,
71,"-","-",normal,bowen,NLCD16,winter with snow,0.5
72,"-","-",normal,bowen,NLCD16,winter with snow,0.5
73,"-","-",normal,bowen,NLCD16,winter with snow,0.5
74,"-","-",normal,bowen,NLCD16,winter with snow,0.5
81,"-","-",normal,bowen,NLCD16,winter with snow,0.5
82,"-","-",normal,bowen,NLCD16,winter with snow,0.5
90,"-","-",normal,bowen,NLCD16,winter with snow,0.5
91,"-","-",normal,bowen,NLCD16,winter with snow,0.5
92,"-","-",normal,bowen,NLCD16,winter with snow,0.5
93,"-","-",normal,bowen,NLCD16,winter with snow,0.5
94,"-","-",normal,bowen,NLCD16,winter with snow,0.5
95,"-","-",normal,bowen,NLCD16,winter with snow,0.5
96,"-","-",normal,bowen,NLCD16,winter with snow,0.5
97,"-","-",normal,bowen,NLCD16,winter with snow,0.5
98,"-","-",normal,bowen,NLCD16,winter with snow,0.1
99,"-","-",normal,bowen,NLCD16,winter with snow,0.1
11,"-","-",wet,bowen,NLCD16,winter with snow,0.1
12,"-","-",wet,bowen,NLCD16,winter with snow,0.5
21,"-","-",wet,bowen,NLCD16,winter with snow,0.5
22,"-","-",wet,bowen,NLCD16,winter with snow,0.5
23,"-","-",wet,bowen,NLCD16,winter with snow,0.5
24,"-","-",wet,bowen,NLCD16,winter with snow,0.5
31,no,"-",wet,bowen,NLCD16,winter with snow,0.5
31,yes,"-",wet,bowen,NLCD16,winter with snow,
32,"-","-",wet,bowen,NLCD16,winter with snow,0.5
41,"-","-",wet,bowen,NLCD16,winter with snow,0.5
42,"-","-",wet,bowen,NLCD16,winter with snow,0.5
43,"-","-",wet,bowen,NLCD16,winter with snow,0.5
51,no,"-",wet,bowen,NLCD16,winter with snow,0.5
51,yes,"-",wet,bowen,NLCD16,winter with snow,
52,no,"-",wet,bowen,NLCD16,winter with snow,0.5
52,yes,"-",wet,bowen,NLCD16,winter with snow,
71,"-","-",wet,bowen,NLCD16,winter with snow,0.5
72,"-","-",wet,bowen,NLCD16,winter with snow,0.5
73,"-","-",wet,bowen,NLCD16,winter with snow,0.5
74,"-","-",wet,bowen,NLCD16,winter with snow,0.5
81,"-","-",wet,bowen,NLCD16,winter with snow,0.5
82,"-","-",wet,bowen,NLCD16,winter with snow,0.5
90,"-","-",wet,bowen,NLCD16,winter with snow,0.5
91,"-","-",wet,bowen,NLCD16,winter with snow,0.5
92,"-","-",wet,bowen,NLCD16,winter with snow,0.5
93,"-","-",wet,bowen,NLCD16,winter with snow,0.5
94,"-","-",wet,bowen,NLCD16,winter with snow,0.5
95,"-","-",wet,bowen,NLCD16,winter with snow,0.5
96,"-","-",wet,bowen,NLCD16,winter with snow,0.5
97,"-","-",wet,bowen,NLCD16,winter with snow,0.5
98,"-","-",wet,bowen,NLCD16,winter with snow,0.1
99,"-","-",wet,bowen,NLCD16,winter with snow,0.1
11,"-","-",dry,bowen,NLCD16,spring,0.1
12,"-","-",dry,bowen,NLCD16,spring,0.5
21,"-","-",dry,bowen,NLCD16,spring,1
22,"-","-",dry,bowen,NLCD16,spring,2
23,"-","-",dry,bowen,NLCD16,spring,3
24,"-","-",dry,bowen,NLCD16,spring,3
31,no,"-",dry,bowen,NLCD16,spring,3
31,yes,"-",dry,bowen,NLCD16,spring,5
32,"-","-",dry,bowen,NLCD16,spring,0.2
41,"-","-",dry,bowen,NLCD16,spring,1.5
42,"-","-",dry,bowen,NLCD16,spring,1.5
43,"-","-",dry,bowen,NLCD16,spring,1.5
51,no,"-",dry,bowen,NLCD16,spring,2.5
51,yes,"-",dry,bowen,NLCD16,spring,4
52,no,"-",dry,bowen,NLCD16,spring,2.5
52,yes,"-",dry,bowen,NLCD16,spring,5
71,"-","-",dry,bowen,NLCD16,spring,1
72,"-","-",dry,bowen,NLCD16,spring,1
73,"-","-",dry,bowen,NLCD16,spring,1
74,"-","-",dry,bowen,NLCD16,spring,1
81,"-","-",dry,bowen,NLCD16,spring,1
82,"-","-",dry,bowen,NLCD16,spring,1
90,"-","-",dry,bowen,NLCD16,spring,0.2
91,"-","-",dry,bowen,NLCD16,spring,0.2
92,"-","-",dry,bowen,NLCD16,spring,0.2
93,"-","-",dry,bowen,NLCD16,spring,0.2
94,"-","-",dry,bowen,NLCD16,spring,0.2
95,"-","-",dry,bowen,NLCD16,spring,0.2
96,"-","-",dry,bowen,NLCD16,spring,0.2
97,"-","-",dry,bowen,NLCD16,spring,0.2
98,"-","-",dry,bowen,NLCD16,spring,0.1
99,"-","-",dry,bowen,NLCD16,spring,0.1
11,"-","-",normal,bowen,NLCD16,spring,0.1
12,"-","-",normal,bowen,NLCD16,spring,0.5
21,"-","-",normal,bowen,NLCD16,spring,0.3
22,"-","-",normal,bowen,NLCD16,spring,0.8
23,"-","-",normal,bowen,NLCD16,spring,1.1
24,"-","-",normal,bowen,NLCD16,spring,1.5
31,no,"-",normal,bowen,NLCD16,spring,1.5
31,yes,"-",normal,bowen,NLCD16,spring,3
32,"-","-",normal,bowen,NLCD16,spring,0.2
41,"-","-",normal,bowen,NLCD16,spring,0.7
42,"-","-",normal,bowen,NLCD16,spring,0.3
43,"-","-",normal,bowen,NLCD16,spring,0.7
51,no,"-",normal,bowen,NLCD16,spring,1
51,yes,"-",normal,bowen,NLCD16,spring,2
52,no,"-",normal,bowen,NLCD16,spring,1
52,yes,"-",normal,bowen,NLCD16,spring,3
71,"-","-",normal,bowen,NLCD16,spring,0.4
72,"-","-",normal,bowen,NLCD16,spring,0.4
73,"-","-",normal,bowen,NLCD16,spring,0.4
74,"-","-",normal,bowen,NLCD16,spring,0.4
81,"-","-",normal,bowen,NLCD16,spring,0.3
82,"-","-",normal,bowen,NLCD16,spring,0.3
90,"-","-",normal,bowen,NLCD16,spring,0.2
91,"-","-",normal,bowen,NLCD16,spring,0.2
92,"-","-",normal,bowen,NLCD16,spring,0.2
93,"-","-",normal,bowen,NLCD16,spring,0.2
94,"-","-",normal,bowen,NLCD16,spring,0.2
95,"-","-",normal,bowen,NLCD16,spring,0.1
96,"-","-",normal,bowen,NLCD16,spring,0.1
97,"-","-",normal,bowen,NLCD16,spring,0.1
98,"-","-",normal,bowen,NLCD16,spring,0.1
99,"-","-",normal,bowen,NLCD16,spring,0.1
11,"-","-",wet,bowen,NLCD16,spring,0.1
12,"-","-",wet,bowen,NLCD16,spring,0.5
21,"-","-",wet,bowen,NLCD16,spring,0.2
22,"-","-",wet,bowen,NLCD16,spring,0.6
23,"-","-",wet,bowen,NLCD16,spring,0.8
24,"-","-",wet,bowen,NLCD16,spring,1
31,no,"-",wet,bowen,NLCD16,spring,1
31,yes,"-",wet,bowen,NLCD16,spring,1
32,"-","-",wet,bowen,NLCD16,spring,0.1
41,"-","-",wet,bowen,NLCD16,spring,0.3
42,"-","-",wet,bowen,NLCD16,spring,0.3
43,"-","-",wet,bowen,NLCD16,spring,0.3
51,no,"-",wet,bowen,NLCD16,spring,0.8
51,yes,"-",wet,bowen,NLCD16,spring,0.8
52,no,"-",wet,bowen,NLCD16,spring,0.8
52,yes,"-",wet,bowen,NLCD16,spring,1
71,"-","-",wet,bowen,NLCD16,spring,0.3
72,"-","-",wet,bowen,NLCD16,spring,0.3
73,"-","-",wet,bowen,NLCD16,spring,0.3
74,"-","-",wet,bowen,NLCD16,spring,0.3
81,"-","-",wet,bowen,NLCD16,spring,0.2
82,"-","-",wet,bowen,NLCD16,spring,0.2
90,"-","-",wet,bowen,NLCD16,spring,0.1
91,"-","-",wet,bowen,NLCD16,spring,0.1
92,"-","-",wet,bowen,NLCD16,spring,0.1
93,"-","-",wet,bowen,NLCD16,spring,0.1
94,"-","-",wet,bowen,NLCD16,spring,0.1
95,"-","-",wet,bowen,NLCD16,spring,0.1
96,"-","-",wet,bowen,NLCD16,spring,0.1
97,"-","-",wet,bowen,NLCD16,spring,0.1
98,"-","-",wet,bowen,NLCD16,spring,0.1
99,"-","-",wet,bowen,NLCD16,spring,0.1
11,"-","-",dry,bowen,NLCD16,summer,0.1
12,"-","-",dry,bowen,NLCD16,summer,0.5
21,"-","-",dry,bowen,NLCD16,summer,1.5
22,"-","-",dry,bowen,NLCD16,summer,2
23,"-","-",dry,bowen,NLCD16,summer,3
24,"-","-",dry,bowen,NLCD16,summer,3
31,no,"-",dry,bowen,NLCD16,summer,3
31,yes,"-",dry,bowen,NLCD16,summer,6
32,"-","-",dry,bowen,NLCD16,summer,0.2
41,"-","-",dry,bowen,NLCD16,summer,0.6
42,"-","-",dry,bowen,NLCD16,summer,0.6
43,"-","-",dry,bowen,NLCD16,summer,0.6
51,no,"-",dry,bowen,NLCD16,summer,2.5
51,yes,"-",dry,bowen,NLCD16,summer,6
52,no,"-",dry,bowen,NLCD16,summer,2.5
52,yes,"-",dry,bowen,NLCD16,summer,6
71,"-","-",dry,bowen,NLCD16,summer,2
72,"-","-",dry,bowen,NLCD16,summer,2
73,"-","-",dry,bowen,NLCD16,summer,2
74,"-","-",dry,bowen,NLCD16,summer,2
81,"-","-",dry,bowen,NLCD16,summer,1.5
82,"-","-",dry,bowen,NLCD16,summer,1.5
90,"-","-",dry,bowen,NLCD16,summer,0.2
91,"-","-",dry,bowen,NLCD16,summer,0.2
92,"-","-",dry,bowen,NLCD16,summer,0.2
93,"-","-",dry,bowen,NLCD16,summer,0.2
94,"-","-",dry,bowen,NLCD16,summer,0.2
95,"-","-",dry,bowen,NLCD16,summer,0.2
96,"-","-",dry,bowen,NLCD16,summer,0.2
97,"-","-",dry,bowen,NLCD16,summer,0.2
98,"-","-",dry,bowen,NLCD16,summer,0.1
99,"-","-",dry,bowen,NLCD16,summer,0.1
11,"-","-",normal,bowen,NLCD16,summer,0.1
12,"-","-",normal,bowen,NLCD16,summer,0.5
21,"-","-",normal,bowen,NLCD16,summer,0.5
22,"-","-",normal,bowen,NLCD16,summer,0.8
23,"-","-",normal,bowen,NLCD16,summer,1.1
24,"-","-",normal,bowen,NLCD16,summer,1.5
31,no,"-",normal,bowen,NLCD16,summer,1.5
31,yes,"-",normal,bowen,NLCD16,summer,4
32,"-","-",normal,bowen,NLCD16,summer,0.2
41,"-","-",normal,bowen,NLCD16,summer,0.3
42,"-","-",normal,bowen,NLCD16,summer,0.3
